Property Name,Address,Year Ending,Property GFA - Self-Reported (ft²),Year Built,Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),Fuel Oil #2 Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Direct GHG Emissions (Metric Tons CO2e)
Bank of America Skating Center,"2 Kennedy Plaza, Providence, RI 02903",06/30/2012 12:00:00 AM,6373,1999,575182,7998,0,,433.4,2762321.3,42.5
Bank of America Skating Center,"2 Kennedy Plaza, Providence, RI 02903",06/30/2011 12:00:00 AM,6373,1999,559930,10976,0,,472,3008081.4,58.3
Roger Williams Middle School,"278 Thurbers Ave, Providence, RI 02905",06/30/2010 12:00:00 AM,135228,1929,308800,7711.06,9941243.8,33,87,11765975.9,778.7
Reservoir Avenue Elementary School,"156 Reservoir Ave, Providence, RI 02907",06/30/2012 12:00:00 AM,22000,1924,93566.9,11847.71,0,45,68.4,1504021.2,62.9
Hartford Avenue Fire Station,"489 Hartford Avenue Providence, RI 02909",06/30/2010 12:00:00 AM,9150,1948,60505.6,0,609408,,89.2,815853.1,45.2
North Main Street Fire Station,"151 North Main Street Providence, RI 02903",06/30/2017 12:00:00 AM,14760,1951,81722.1,4785.57,,,51.3,757392.3,25.4
"DPW Maintenance, Traffic and Roller Shed","20 Ernest Street Providence, Rhode Island 02905",06/30/2017 12:00:00 AM,110450,1930,215230.2,68749.03,,,68.9,7609267.9,365.2
Branch Avenue Fire Station,"10 Branch Avenue Providence, RI 02904",06/30/2011 12:00:00 AM,14616,1948,99194.1,275.92,733056,,75.2,1099098,55.9
Branch Avenue Fire Station,"10 Branch Avenue Providence, RI 02904",06/30/2010 12:00:00 AM,14616,1948,96334,,703386,,70.8,1035059.7,52.4
Nathanael Greene Middle School,"721 Chalkstone Ave, Providence, RI 02908",06/30/2013 12:00:00 AM,159070,1930,278766,85066.76,0,60,59.5,9457825.8,451.8
Broad Street Fire Station,"847 Broad Street Providence, RI 02905

",06/30/2014 12:00:00 AM,9426,1942,69800,968.57,507840,,89.4,842854.7,42.8
Broad Street Fire Station,"847 Broad Street Providence, RI 02905

",06/30/2013 12:00:00 AM,9426,1942,70093,984.1,492660,,88.1,830227.2,41.8
Central-Classical High Schools,"770 Westminster St, Providence, RI 02903",06/30/2017 12:00:00 AM,454059,1962,1936188.7,156281.82,,97,49,22234458.5,830.1
Broad Street Fire Station,"847 Broad Street Providence, RI 02905

",06/30/2011 12:00:00 AM,9426,1942,64903.3,2399.75,439668,,95.6,901093.2,45.4
Zuccolo Recreation Center,"18 Gesler St, Providence, RI 02909",06/30/2017 12:00:00 AM,11592,1949,62016,5515.31,,,65.8,763129.1,29.3
Brook Street Fire Station,"223 Brook Street Providence, RI 02906",06/30/2015 12:00:00 AM,7580,1950,51327.9,5320,0,,93.3,707131,28.3
Brook Street Fire Station,"223 Brook Street Providence, RI 02906",06/30/2014 12:00:00 AM,7580,1950,56125.9,5772,0,,101.4,768701.6,30.7
Brook Street Fire Station,"223 Brook Street Providence, RI 02906",06/30/2013 12:00:00 AM,7580,1950,58890.7,4213,0,,82.1,622235,22.4
Harry Kizirian Elementary School,"60 Camden Ave, Providence, RI 02908",06/30/2016 12:00:00 AM,73950,1959,275650.7,35107.94,,64,60.2,4451314.4,186.5
Brook Street Fire Station,"223 Brook Street Providence, RI 02906",06/30/2011 12:00:00 AM,7580,1950,57649.5,5608.51,0,,99.9,757551,29.8
Selim Madelin Rogers Recreation Center,"60 Camden Ave, Providence, RI 02908",06/30/2016 12:00:00 AM,9350,2000,76075.8,8510.03,,,118.8,1110573.7,45.2
Asa Messer Annex (WSPS),"245 Althea St, Providence, RI 02909",06/30/2014 12:00:00 AM,20360,1925,17498.4,5184,0,99,28.4,578104.6,27.5
Carl G. Lauro Elementary School,"99 Kenyon St, Providence, RI 02903",06/30/2013 12:00:00 AM,117482,1921,190192,87204.77,0,43,79.8,9369412.5,463.2
Carl G. Lauro Elementary School,"99 Kenyon St, Providence, RI 02903",06/30/2012 12:00:00 AM,117482,1921,221592.3,73284.03,0,54,68.8,8084476.5,389.2
Carl G. Lauro Elementary School,"99 Kenyon St, Providence, RI 02903",06/30/2011 12:00:00 AM,117482,1921,221909,68025.09,0,62,64.3,7559663,361.3
Roger Williams Middle School,"278 Thurbers Ave, Providence, RI 02905",06/30/2017 12:00:00 AM,135228,1929,357969.6,94579.18,,36,79,10679310.5,502.4
Nathan Bishop Middle School,"101 Sessions St, Providence, RI 02906",06/30/2011 12:00:00 AM,136000,1929,1166250.9,47510.61,0,59,64.2,8730309,252.4
Providence Emergency Management Agency,"591 Charles St, Providence, RI 02904",06/30/2017 12:00:00 AM,12776,1991,146018.7,3271.37,173742,,78.2,999094.4,30.3
Central Supply,"304 Pearl Street Providence, Rhode Island 02903",06/30/2013 12:00:00 AM,15525,2004,90623.9,5066,0,23,52.5,815809,26.9
Nathanael Greene Middle School,"721 Chalkstone Ave, Providence, RI 02908",06/30/2011 12:00:00 AM,159070,1930,374138.8,5758.14,0,58,58.6,9314698.2,584.4
Hope High School,"324 Hope St, Providence, RI 02906",06/30/2012 12:00:00 AM,257089,1938,921569.9,159968.96,0,87,74.5,19141292.7,849.7
Central Supply,"304 Pearl Street Providence, Rhode Island 02903",06/30/2010 12:00:00 AM,15525,2004,57870.7,13399.03,0,3,118.3,1537357.6,71.2
