Property Name,Address,Year Ending,Property GFA - Self-Reported (ft²),Year Built,Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),Fuel Oil #2 Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Direct GHG Emissions (Metric Tons CO2e)
Public Safety Garage,"349 W Fountain St, Providence, RI 02903",06/30/2014 12:00:00 AM,162976,2002,226706.2,0,0,,4.7,773521.7,0
Public Safety Garage,"349 W Fountain St, Providence, RI 02903",06/30/2013 12:00:00 AM,162976,2002,205299.6,0,0,,4.3,700482.2,0
Public Safety Garage,"349 W Fountain St, Providence, RI 02903",06/30/2012 12:00:00 AM,162976,2002,207356.7,0,0,,4.3,707501,0
Public Safety Garage,"349 W Fountain St, Providence, RI 02903",06/30/2011 12:00:00 AM,162976,2002,225554.5,0,0,,4.7,769592.1,0
Public Safety Garage,"349 W Fountain St, Providence, RI 02903",06/30/2010 12:00:00 AM,162976,2002,231054.3,0,0,,4.8,788357.2,0
Reservoir Avenue Elementary School,"156 Reservoir Ave, Providence, RI 02907",06/30/2015 12:00:00 AM,22000,1924,85955.7,16312.81,0,30,87.5,1924561.6,86.6
Reservoir Avenue Elementary School,"156 Reservoir Ave, Providence, RI 02907",06/30/2014 12:00:00 AM,22000,1924,96167.7,17382.97,0,22,93.9,2066421.1,92.3
Vincent Brown Recreation Center,"438 Hope Street Providence, RI 02906",06/30/2017 12:00:00 AM,18111,1997,22727.8,10363.42,,,61.5,1113889.8,55
Mount Pleasant Avenue Fire Station,"136 Mt Pleasant Ave, Providence, RI 02908",06/30/2011 12:00:00 AM,5332,1903,44461.4,552.97,425316,,118.6,632315.3,34.5
Davey Lopes Recreation Center,"227 Dudley St, Providence, RI 02907",06/30/2013 12:00:00 AM,11860,1948,89179,15789.43,0,,158.8,1883221.4,83.9
Rochambeau Avenue Fire Station,"270 Rochambeau Avenue Providence, RI 02906",06/30/2012 12:00:00 AM,7400,1928,44433.6,6713.98,0,,111.2,823005.1,35.7
Roger Williams Middle School,"278 Thurbers Ave, Providence, RI 02905",06/30/2014 12:00:00 AM,135228,1929,371152,121370.4,0,18,99.1,13403410.8,644.7
DPW Administration Building,"700 Allens Avenue Providence, Rhode Island 02905",06/30/2011 12:00:00 AM,20511,1925,78995.5,18050.6,0,58,101.1,2074593.2,95.9
Reservoir Avenue Fire Station,"274 Reservoir Avenue Providence, RI 02907",06/30/2013 12:00:00 AM,7360,1932,60989.4,621.71,406548,,92,676814.9,33.5
Mount Pleasant Avenue Fire Station,"136 Mt Pleasant Ave, Providence, RI 02908",06/30/2017 12:00:00 AM,5332,1903,32376.4,370.26,338790,,91.2,486284.8,27.1
Steven M. Shaw District 5 Substation,"204 Magnolia St, Providence, RI 02909",06/30/2012 12:00:00 AM,546,1996,8764.1,427,0,,133,72603,2.3
The Leviton Complex,"65 Greenwich Street Providence, RI, 02907",06/30/2016 12:00:00 AM,178654,1908,890732.5,52582.48,,40,46.4,8297428.1,279.3
Robert F. Kennedy Elementary School,"195 Nelson St, Providence, RI 02908",06/30/2015 12:00:00 AM,49840,1921,132943.4,40245.72,0,52,89.9,4478174.7,213.8
Roger Williams Middle School,"278 Thurbers Ave, Providence, RI 02905",06/30/2013 12:00:00 AM,135228,1929,345024,95279.16,0,37,79.2,10705137.8,506.1
Gilbert Stuart Middle school,"188 Princeton Ave, Providence, RI 02907",06/30/2011 12:00:00 AM,154450,1929,348384.4,4574.66,8883473.6,46,68.2,10529627,683.5
Atwells Avenue Fire Station,"639 Atwells Avenue Providence, RI 02909",06/30/2014 12:00:00 AM,10022,1948,58206.7,548.67,606648,,85.8,860116.5,47.9
Robert F. Kennedy Elementary School,"195 Nelson St, Providence, RI 02908",06/30/2011 12:00:00 AM,49840,1921,130833.9,,0,94,44.4,2212280.1,131
Lillian Feinstein Senior Center,"1085 Chalkstone Ave, Providence, RI 02908",06/30/2012 12:00:00 AM,8520,2001,37516,1900.73,0,,37.3,318077.8,10.1
"Robert. L Bailey, IV Elementary School","65 Gordon Ave, Providence, RI 02905",06/30/2015 12:00:00 AM,78000,2000,415785.7,17974.23,0,95,41.2,3216083.8,95.5
"Robert. L Bailey, IV Elementary School","65 Gordon Ave, Providence, RI 02905",06/30/2014 12:00:00 AM,78000,2000,465014.2,23953.32,0,89,51.1,3981961.1,127.2
"Robert. L Bailey, IV Elementary School","65 Gordon Ave, Providence, RI 02905",06/30/2013 12:00:00 AM,78000,2000,447353.3,18559,0,93,43.4,3382269.7,98.6
"Robert. L Bailey, IV Elementary School","65 Gordon Ave, Providence, RI 02905",06/30/2012 12:00:00 AM,78000,2000,476063.9,15735.84,0,93,41,3197913.8,83.6
"Robert. L Bailey, IV Elementary School","65 Gordon Ave, Providence, RI 02905",06/30/2011 12:00:00 AM,78000,2000,498669.8,21626.1,0,89,49.5,3864071.3,114.9
Providence Police Academy,"200 Chad Brown Street Providence, RI 02908",06/30/2015 12:00:00 AM,20175,1928,33011.2,0,1593072,,84.5,1705706.1,118.2
Mount Pleasant High School,"434 Mt Pleasant Ave, Providence, RI 02908",06/30/2015 12:00:00 AM,320000,1938,957941.1,235771.85,0,83,83.9,26845680.2,1252.3
Rochambeau Avenue Fire Station,"270 Rochambeau Avenue Providence, RI 02906",06/30/2016 12:00:00 AM,7400,1928,40740.2,7915,,,125.7,930505.5,42
Pleasant View Elementary School,"50 Obadiah Brown Rd, Providence, RI 02909",06/30/2017 12:00:00 AM,74800,1971,358766.5,82948.62,,16,127.3,9518973.1,440.6
Juanita Sanchez Educational Complex,"182 Thurbers Ave, Providence, RI 02905",06/30/2015 12:00:00 AM,110000,2004,982333.2,59297.42,0,53,84.4,9281463.4,315
Lillian Feinstein Elementary School @ Sackett Street,"159 Sackett St, Providence, RI 02907",06/30/2012 12:00:00 AM,68400,1921,304138.5,12306.84,1946490,75,61.6,4214894.4,209.8
Dalrymple Boat House,"1000 Elmwood Ave, Providence, RI 02907",06/30/2016 12:00:00 AM,17474,1894,69882.6,,345414,,33.4,583853.4,25.6
Allens Avenue Fire Station,"776 Allens Avenue Providence, RI 02905",06/30/2014 12:00:00 AM,9440,1948,54559.2,6838.28,0,,92.2,869984.6,36.3
Frank D. Spaziano Elementary School,"85 Laurel Hill Ave, Providence, RI 02909",06/30/2015 12:00:00 AM,58015,1908,118734.8,2376.88,1955735.9,93,44.8,2598547.1,157.8
Reservoir Avenue Fire Station,"274 Reservoir Avenue Providence, RI 02907",06/30/2012 12:00:00 AM,7360,1932,60368.8,628.42,357282,,85.1,626102.1,29.9
Roger Williams Middle School,"278 Thurbers Ave, Providence, RI 02905",06/30/2012 12:00:00 AM,135228,1929,346817,,0,,,,
Roger Williams Middle School,"278 Thurbers Ave, Providence, RI 02905",06/30/2011 12:00:00 AM,135228,1929,341535,7068.42,0,22,98.7,13351827.4,889.4
Robert F. Kennedy Elementary School,"195 Nelson St, Providence, RI 02908",06/30/2012 12:00:00 AM,49840,1921,149865.9,,0,99,26.4,1317434.1,42.8
William D'Abate Elementary School,"60 Kossuth St, Providence, RI 02909",06/30/2014 12:00:00 AM,44174,1959,213380.8,45148.56,0,26,118.7,5242911.6,239.8
William D'Abate Elementary School,"60 Kossuth St, Providence, RI 02909",06/30/2013 12:00:00 AM,44174,1959,166189.2,35270.09,0,53,92.7,4094046.7,187.3
Neutaconkanut Recreation Center,"675 Plainfield St, Providence, RI 02909",06/30/2013 12:00:00 AM,15345,1997,55772,13248.84,0,,98.7,1515177.9,70.4
Department of Recreation,"One Recreation Way Providence, Rhode Island 02904",06/30/2017 12:00:00 AM,4186,2001,59537.3,,,,,,
Roger Williams Park Zoo,"1000 Elmwood Ave, Providence, RI 02907",06/30/2013 12:00:00 AM,136659,1872,2618626.3,89271.08,0,,56.8,17861862.1,474.2
Selim Madelin Rogers Recreation Center,"60 Camden Ave, Providence, RI 02908",06/30/2010 12:00:00 AM,9350,2000,75974.7,5440.25,0,,85.9,803250.6,28.9
The Casino at Roger Williams Park,"1000 Elmwood Ave, Providence, RI 02907",06/30/2015 12:00:00 AM,16782,1894,257593.5,9572.08,0,,109.4,1836117.3,50.8
The Casino at Roger Williams Park,"1000 Elmwood Ave, Providence, RI 02907",06/30/2014 12:00:00 AM,16782,1894,178472,9597.91,0,,93.5,1568737.7,51
The Casino at Roger Williams Park,"1000 Elmwood Ave, Providence, RI 02907",06/30/2013 12:00:00 AM,16782,1894,165528,7833.04,0,,80.3,1348085.8,41.6
Windmill Street School (closed),"110 Paul Street Providence, Rhode Island 02904",06/30/2011 12:00:00 AM,86140,1915,156978.2,2354.06,4594848,41,62.3,5365863.3,353.5
The Casino at Roger Williams Park,"1000 Elmwood Ave, Providence, RI 02907",06/30/2011 12:00:00 AM,16782,1894,188236.2,9605.25,0,,95.5,1602786.9,51
The Casino at Roger Williams Park,"1000 Elmwood Ave, Providence, RI 02907",06/30/2010 12:00:00 AM,16782,1894,167678.9,8789.76,0,,86.5,1451096.7,46.7
Windmill Annex (A Venture),"425 Branch Avenue Providence, Rhode Island 02904",06/30/2016 12:00:00 AM,25060,1930,55680.8,8775.3,,89,42.6,1067513.2,46.6
The Family and Community Engagement Center,"379 Washington Street, Providence, RI 02903",06/30/2014 12:00:00 AM,8700,1960,90337,967.74,0,29,97.5,848487,38.1
The Family and Community Engagement Center,"379 Washington Street, Providence, RI 02903",06/30/2013 12:00:00 AM,8700,1960,108708,86.45,423098.4,23,92.3,802654.8,31.9
Central Supply,"304 Pearl Street Providence, Rhode Island 02903",06/30/2014 12:00:00 AM,15525,2004,101680.9,6839.59,0,17,66.4,1030894.8,36.3
The Family and Community Engagement Center,"379 Washington Street, Providence, RI 02903",06/30/2011 12:00:00 AM,8700,1960,98269.1,151.5,446134.3,28,91.6,796578.4,33.9
Central Supply,"304 Pearl Street Providence, Rhode Island 02903",06/30/2016 12:00:00 AM,15525,2004,68890.3,6355,,22,56.1,870553.8,33.8
Reservoir Avenue Fire Station,"274 Reservoir Avenue Providence, RI 02907",06/30/2014 12:00:00 AM,7360,1932,43478.2,555.82,468096,,91.3,672025.4,37.7
The Leviton Complex,"65 Greenwich Street Providence, RI, 02907",06/30/2014 12:00:00 AM,178654,1908,922605.5,70532.28,0,28,57.1,10201157.9,374.6
"Joseph A. Doorley, Jr. Building","444 Westminster St, Providence, RI 02903",06/30/2013 12:00:00 AM,72000,1966,1452664.2,36538.81,0,27,119.6,8610371.6,194.1
"Robert. L Bailey, IV Elementary School","65 Gordon Ave, Providence, RI 02905",06/30/2010 12:00:00 AM,78000,2000,460948.3,18832.74,0,92,44.3,3456029.9,100
Mary E. Fogarty Elementary School,"199 Oxford St, Providence, RI 02905",06/30/2013 12:00:00 AM,51400,1959,147087.7,12375.33,2548446,48,83.4,4287842.8,254.8
George J. West Elementary School,"145 Beaufort St, Providence, RI 02908",06/30/2016 12:00:00 AM,112030,1959,207883.9,54732.42,,75,55.2,6182541.7,290.7
Reservoir Avenue Elementary School,"156 Reservoir Ave, Providence, RI 02907",06/30/2017 12:00:00 AM,22000,1924,94858.8,11108.06,,50,65.2,1434464.9,59
Windmill Street School (closed),"110 Paul Street Providence, Rhode Island 02904",06/30/2014 12:00:00 AM,86140,1915,70247.7,13.99,3989718,74,49.1,4230801.9,296.1
Lillian Feinstein Senior Center,"1085 Chalkstone Ave, Providence, RI 02908",06/30/2015 12:00:00 AM,8520,2001,40470.8,3270.12,0,,54.6,465098.9,17.4
Vartan Gregorian Elementary School,"455 Wickenden St, Providence, RI 02903",06/30/2012 12:00:00 AM,63000,1954,239974.9,41890.68,0,37,79.5,5007862.2,222.5
"Joseph A. Doorley, Jr. Building","444 Westminster St, Providence, RI 02903",06/30/2014 12:00:00 AM,72000,1966,1225049.9,38704.49,0,40,111.8,8050319.6,205.6
Vartan Gregorian Elementary School,"455 Wickenden St, Providence, RI 02903",06/30/2013 12:00:00 AM,63000,1954,260274.6,44971.74,0,30,85.5,5385231.3,238.9
Veazie Street Elementary School,"211 Veazie St, Providence, RI 02904",06/30/2014 12:00:00 AM,110000,1909,344905.7,57827.48,0,48,62.7,6959566.8,307.1
Steven M. Shaw District 5 Substation,"204 Magnolia St, Providence, RI 02909",06/30/2013 12:00:00 AM,546,1996,8214.3,525,0,,147.5,80527.3,2.8
Hope High School,"324 Hope St, Providence, RI 02906",06/30/2014 12:00:00 AM,257089,1938,902379.9,206082.74,0,76,92.1,23687194.2,1094.6
Peter A. Rochio Substation,"1266 Chalkstone Ave, Providence, RI 02908",06/30/2011 12:00:00 AM,914,2006,24773.3,0,0,,92.5,84526.4,0
Veazie Street Elementary School,"211 Veazie St, Providence, RI 02904",06/30/2011 12:00:00 AM,110000,1909,392542.8,73362.06,0,26,78.2,8675562.5,389.7
Veazie Street Elementary School,"211 Veazie St, Providence, RI 02904",06/30/2015 12:00:00 AM,110000,1909,363646.6,76216.8,0,27,79.8,8862442.7,404.8
Hartford Avenue Fire Station,"489 Hartford Avenue Providence, RI 02909",06/30/2016 12:00:00 AM,9150,1948,55155.9,,529920,,78.5,718112,39.3
Vincent Brown Recreation Center,"438 Hope Street Providence, RI 02906",06/30/2014 12:00:00 AM,18111,1997,24896,8654,0,,52.5,950345.1,46
Vincent Brown Recreation Center,"438 Hope Street Providence, RI 02906",06/30/2013 12:00:00 AM,18111,1997,23277.7,6607.48,0,,40.9,740171.9,35.1
Roger Williams Park Carousel,"1000 Elmwood Avenue Providence, Rhode Island 02907",06/30/2016 12:00:00 AM,51600,1897,22926.5,6111.01,,,13.4,689325.9,32.5
Vincent Brown Recreation Center,"438 Hope Street Providence, RI 02906",06/30/2011 12:00:00 AM,18111,1997,27921.4,10448.98,0,,63,1140165.7,55.5
Vincent Brown Recreation Center,"438 Hope Street Providence, RI 02906",06/30/2010 12:00:00 AM,18111,1997,39384.6,8156.66,0,,52.5,950045.9,43.3
Webster Avenue Elementary School,"191 Webster Ave, Providence, RI 02909",06/30/2010 12:00:00 AM,44290,1904,134721.4,0,2043090.1,79,56.5,2502759.7,151.6
Juanita Sanchez Educational Complex,"182 Thurbers Ave, Providence, RI 02905",06/30/2011 12:00:00 AM,110000,2004,1020061.8,61778.58,0,51,87.8,9658309.1,328.1
Allan Shawn Feinstein Elementary School @ Broad Street,"1450 Broad St, Providence, RI 02905",06/30/2017 12:00:00 AM,77899,1895,130257,39149.19,,97,56,4359355.7,207.9
Webster Avenue Elementary School,"191 Webster Ave, Providence, RI 02909",06/30/2012 12:00:00 AM,44290,1904,124974.1,0,2020319.9,81,55.2,2446731.4,149.9
Mary E. Fogarty Elementary School,"199 Oxford St, Providence, RI 02905",06/30/2015 12:00:00 AM,51400,1959,149102.6,34167.95,0,55,76.4,3925533.3,181.5
Zuccolo Recreation Center,"18 Gesler St, Providence, RI 02909",06/30/2010 12:00:00 AM,11592,1949,69867.6,6633.76,0,,77.8,901764.6,35.2
Vartan Gregorian Elementary School,"455 Wickenden St, Providence, RI 02903",06/30/2011 12:00:00 AM,63000,1954,272305.8,51634.58,0,20,96.7,6092565.7,274.3
West End Recreation Center,"109 Bucklin St, Providence, RI 02907",06/30/2014 12:00:00 AM,25760,1997,170387.1,8742.07,0,,56.5,1455567.6,46.4
West End Recreation Center,"109 Bucklin St, Providence, RI 02907",06/30/2013 12:00:00 AM,25760,1997,165746.6,5638.75,0,,43.8,1129402.5,30
Dr. Martin Luther King Elementary School,"35 Camp St, Providence, RI 02906",06/30/2016 12:00:00 AM,71724,1959,239507.6,28433.34,,88,51,3660534,151
West End Recreation Center,"109 Bucklin St, Providence, RI 02907",06/30/2011 12:00:00 AM,25760,1997,212591.6,6697.05,0,,54.2,1395067.7,35.6
Broad Street Fire Station,"847 Broad Street Providence, RI 02905

",06/30/2017 12:00:00 AM,9426,1942,73648,3094.52,,,74.4,701222.4,26.9
William D'Abate Elementary School,"60 Kossuth St, Providence, RI 02909",06/30/2015 12:00:00 AM,44174,1959,197509.9,40142.28,0,37,106.1,4688131.8,213.2
Reservoir Avenue Fire Station,"274 Reservoir Avenue Providence, RI 02907",06/30/2017 12:00:00 AM,7360,1932,47502.1,615.3,415380,,86.8,638987.3,34.1
Providence Emergency Management Agency,"591 Charles St, Providence, RI 02904",06/30/2014 12:00:00 AM,12776,1991,138367.9,0,165186,,77.4,989453.5,31
Department of Recreation,"One Recreation Way Providence, Rhode Island 02904",06/30/2011 12:00:00 AM,4186,2001,57335.1,0,241224,,104.4,436851.2,17.9
William D'Abate Elementary School,"60 Kossuth St, Providence, RI 02909",06/30/2011 12:00:00 AM,44174,1959,199865.4,,2942298,61,82,3624238.9,218.3
William D'Abate Elementary School,"60 Kossuth St, Providence, RI 02909",06/30/2010 12:00:00 AM,44174,1959,223341.8,,3860136.2,37,104.6,4622178.5,286.5
Zuccolo Recreation Center,"18 Gesler St, Providence, RI 02909",06/30/2015 12:00:00 AM,11592,1949,59277.9,7271.29,0,,80.2,929384.9,38.6
Zuccolo Recreation Center,"18 Gesler St, Providence, RI 02909",06/30/2014 12:00:00 AM,11592,1949,53772.1,4628.88,0,,55.8,646358.1,24.6
Nathan Bishop Middle School,"101 Sessions St, Providence, RI 02906",06/30/2016 12:00:00 AM,136000,1929,1455763.7,52493,,37,75.1,10216366.3,278.8
Zuccolo Recreation Center,"18 Gesler St, Providence, RI 02909",06/30/2012 12:00:00 AM,11592,1949,53470,614,0,,21,243839.8,3.3
Zuccolo Recreation Center,"18 Gesler St, Providence, RI 02909",06/30/2011 12:00:00 AM,11592,1949,61133,4652.5,0,,58.1,673835.8,24.7
Juanita Sanchez Educational Complex,"182 Thurbers Ave, Providence, RI 02905",06/30/2017 12:00:00 AM,110000,2004,851784.4,24605.26,,86,48.8,5366814.5,130.7
Mount Pleasant High School,"434 Mt Pleasant Ave, Providence, RI 02908",06/30/2011 12:00:00 AM,320000,1938,920058.3,,0,87,78.1,25007962.6,1161.6
Dr. Robert F. Roberti Administration Building,"797 Westminster St., Providence, RI 02903",06/30/2010 12:00:00 AM,56744,1945,1168647,27088.39,0,47,118,6696262.6,143.9
The Leviton Complex,"65 Greenwich Street Providence, RI, 02907",06/30/2013 12:00:00 AM,178654,1908,894241.6,61317.83,0,35,51.4,9182935.3,325.7
"Joseph A. Doorley, Jr. Building","444 Westminster St, Providence, RI 02903",06/30/2012 12:00:00 AM,72000,1966,0,0,0,,,,
"Joseph A. Doorley, Jr. Building","444 Westminster St, Providence, RI 02903",06/30/2011 12:00:00 AM,72000,1966,0,0,0,,,,
"Joseph A. Doorley, Jr. Building","444 Westminster St, Providence, RI 02903",06/30/2010 12:00:00 AM,72000,1966,0,0,0,,,,
Camp Cronin,"1399 Ocean Road, Narragansett, RI 02882",06/30/2015 12:00:00 AM,4362,1960,30163.8,0,0,,21.9,102918.7,0
Camp Cronin,"1399 Ocean Road, Narragansett, RI 02882",06/30/2014 12:00:00 AM,4362,1960,3461.4,0,0,,2,11810.3,0
Central-Classical High Schools,"770 Westminster St, Providence, RI 02903",06/30/2014 12:00:00 AM,454059,1962,2530651.3,204837.75,0,54,64.1,29118357.8,1088
Camp Cronin,"1399 Ocean Road, Narragansett, RI 02882",06/30/2012 12:00:00 AM,4362,1960,5327.6,0,0,,3.1,18177.7,0
Camp Cronin,"1399 Ocean Road, Narragansett, RI 02882",06/30/2011 12:00:00 AM,4362,1960,3139,0,0,,1.8,10710.3,0
Mount Pleasant High School,"434 Mt Pleasant Ave, Providence, RI 02908",06/30/2010 12:00:00 AM,320000,1938,868658.2,8363,0,91,71.3,22830583.7,1456.6
Roger Williams Park Zoo,"1000 Elmwood Ave, Providence, RI 02907",06/30/2015 12:00:00 AM,136659,1872,2898474.6,97700.37,0,,110.7,19659634,518.9
Carl G. Lauro Elementary School,"99 Kenyon St, Providence, RI 02903",06/30/2015 12:00:00 AM,117482,1921,208945.7,86405.81,0,43,79.6,9353503.8,458.9
Admiral Street Fire Station,"426 Admiral Street Providence, RI 02908",06/30/2014 12:00:00 AM,12850,1924,69691.3,8912.87,67482,,93.1,1196555.8,52.3
Frank D. Spaziano Elementary School Annex,"240 Laban Street, Providence, RI 02909",06/30/2017 12:00:00 AM,19585,1910,95203.3,11039.64,,35,73,1428798.2,58.6
Roger Williams Park Zoo,"1000 Elmwood Ave, Providence, RI 02907",06/30/2011 12:00:00 AM,136659,1872,2748349.4,,0,,,,
Roger Williams Park Zoo,"1000 Elmwood Ave, Providence, RI 02907",06/30/2010 12:00:00 AM,136659,1872,2485443.9,,0,,,,
Frank D. Spaziano Elementary School Annex,"240 Laban Street, Providence, RI 02909",06/30/2013 12:00:00 AM,19585,1910,71475,10401.24,0,53,65.6,1283996.9,55.2
Broad Street Fire Station,"847 Broad Street Providence, RI 02905

",06/30/2010 12:00:00 AM,9426,1942,65603.1,928.04,541650,,91.1,858291.8,45.1
Dr. Robert F. Roberti Administration Building,"797 Westminster St., Providence, RI 02903",06/30/2011 12:00:00 AM,56744,1945,1154509.1,25213.8,0,52,113.9,6460565.8,133.9
Lillian Feinstein Senior Center,"1085 Chalkstone Ave, Providence, RI 02908",06/30/2011 12:00:00 AM,8520,2001,38642.7,2598.73,0,,46,391721.8,13.8
George J. West Elementary School,"145 Beaufort St, Providence, RI 02908",06/30/2013 12:00:00 AM,112030,1959,214192,84330.63,0,40,81.8,9163885.8,447.9
Neutaconkanut Recreation Center,"675 Plainfield St, Providence, RI 02909",06/30/2016 12:00:00 AM,15345,1997,48160.4,8413.7,,,65.5,1005693.8,44.7
Peter A. Rochio Substation,"1266 Chalkstone Ave, Providence, RI 02908",06/30/2015 12:00:00 AM,914,2006,29877.9,0,0,,111.5,101943.3,0
Peter A. Rochio Substation,"1266 Chalkstone Ave, Providence, RI 02908",06/30/2014 12:00:00 AM,914,2006,22455.5,0,0,,83.8,76618.3,0
Vincent Brown Recreation Center,"438 Hope Street Providence, RI 02906",06/30/2016 12:00:00 AM,18111,1997,25317,8223,,,50.2,908681.6,43.7
West End Recreation Center,"109 Bucklin St, Providence, RI 02907",06/30/2016 12:00:00 AM,25760,1997,164171.6,7170.2,,,49.6,1277173.7,38.1
Selim Madelin Rogers Recreation Center,"60 Camden Ave, Providence, RI 02908",06/30/2013 12:00:00 AM,9350,2000,74247.2,6460.24,0,,96.2,899355.5,34.3
Asa Messer Annex (WSPS),"245 Althea St, Providence, RI 02909",06/30/2015 12:00:00 AM,20360,1925,18489,7845,0,94,41.6,847584.3,41.7
Lillian Feinstein Elementary School @ Sackett Street,"159 Sackett St, Providence, RI 02907",06/30/2017 12:00:00 AM,68400,1921,255469.3,28019.03,,85,53.7,3673564.7,148.8
Asa Messer Annex (WSPS),"245 Althea St, Providence, RI 02909",06/30/2013 12:00:00 AM,20360,1925,16334.6,4939,0,,27,549633.6,26.2
Department of Communications,"215 West Exchange Street Providence, Rhode Island 02903",06/30/2010 12:00:00 AM,11752,1987,294717.6,7684,0,,151,1773976.4,40.8
Asa Messer Elementary School @ Samuel W. Bridgham,"1655 Westminster Street Providence, RI, 02909",06/30/2010 12:00:00 AM,109255,1972,552573,10359.06,4591259.8,48,68.8,7512545.7,395.7
Asa Messer Annex (WSPS),"245 Althea St, Providence, RI 02909",06/30/2010 12:00:00 AM,20360,1925,57685.1,6678.81,0,82,42.5,864702.2,35.5
Windmill Annex (A Venture),"425 Branch Avenue Providence, Rhode Island 02904",06/30/2015 12:00:00 AM,25060,1930,60458.6,11710.06,0,76,55,1377291.1,62.2
Windmill Annex (A Venture),"425 Branch Avenue Providence, Rhode Island 02904",06/30/2014 12:00:00 AM,25060,1930,72000,14019.93,0,59,65.7,1647657.4,74.5
Oliver Hazard Perry (Providence Mayoral Academy ES),"370 Hartford Avenue Providence, Rhode Island 02909",06/30/2015 12:00:00 AM,182488,1929,293189.3,118771.62,0,10,70.6,12877523.7,630.9
Windmill Annex (A Venture),"425 Branch Avenue Providence, Rhode Island 02904",06/30/2012 12:00:00 AM,25060,1930,24893.5,9890,0,94,42.9,1073936.5,52.5
Bank of America Skating Center,"2 Kennedy Plaza, Providence, RI 02903",06/30/2010 12:00:00 AM,6373,1999,557203.3,9721,0,,450.9,2873277.9,51.6
"Robert. L Bailey, IV Elementary School","65 Gordon Ave, Providence, RI 02905",06/30/2017 12:00:00 AM,78000,2000,346018.1,15217.07,,98,34.6,2702320.8,80.8
Humboldt Avenue Fire Station,"155 Humboldt Avenue Providence, RI 02906",06/30/2013 12:00:00 AM,7460,1905,37607.3,0,802470,,124.8,930786.2,59.6
Roger Williams Park Carousel,"1000 Elmwood Avenue Providence, Rhode Island 02907",06/30/2013 12:00:00 AM,51600,1897,66624.1,6519.69,0,,17,879290.3,34.6
The Family and Community Engagement Center,"379 Washington Street, Providence, RI 02903",06/30/2015 12:00:00 AM,8700,1960,82253.1,6123.64,0,29,102.6,893011.9,32.5
Webster Avenue Elementary School,"191 Webster Ave, Providence, RI 02909",06/30/2013 12:00:00 AM,44290,1904,142976.6,0,1922892.1,80,54.4,2410728.3,142.7
George J. West Elementary School,"145 Beaufort St, Providence, RI 02908",06/30/2014 12:00:00 AM,112030,1959,239301.8,77829.52,0,46,76.8,8599449.6,413.4
Dalrymple Boat House,"1000 Elmwood Ave, Providence, RI 02907",06/30/2012 12:00:00 AM,17474,1894,62072,0,396474,,34.8,608263.7,29.4
Webster Avenue Elementary School,"191 Webster Ave, Providence, RI 02909",06/30/2011 12:00:00 AM,44290,1904,129848,0,1982231.9,82,54.8,2425273.3,147.1
Oliver Hazard Perry (Providence Mayoral Academy ES),"370 Hartford Avenue Providence, Rhode Island 02909",06/30/2014 12:00:00 AM,182488,1929,225920,113222.75,0,15,66.3,12093113.5,601.4
Allan Shawn Feinstein Elementary School @ Broad Street,"1450 Broad St, Providence, RI 02905",06/30/2015 12:00:00 AM,77899,1895,132245.7,63892.54,0,81,87.8,6840476.7,339.4
The Leviton Complex,"65 Greenwich Street Providence, RI, 02907",06/30/2012 12:00:00 AM,178654,1908,943775.7,53518.47,0,35,48,8572010.3,284.3
City Hall,"25 Dorrance St, Providence, RI 02903",06/30/2013 12:00:00 AM,99675,1878,623066.6,36955.01,0,94,58.4,5821404.3,196.3
Juanita Sanchez Educational Complex,"182 Thurbers Ave, Providence, RI 02905",06/30/2012 12:00:00 AM,110000,2004,985260.3,42799.51,0,65,69.5,7641659.8,227.3
West Broadway,"29 Brainbridge Avenue Providence, Rhode Island 02909",06/30/2015 12:00:00 AM,46000,1966,166774.6,0,2801814,60,73.3,3370848.9,207.9
Leviton Dual Language School,"65 Greenwich St, Providence, RI 02907",06/30/2017 12:00:00 AM,40000,2002,295348.2,8425.03,,88,46.3,1850231.4,44.7
West Broadway,"29 Brainbridge Avenue Providence, Rhode Island 02909",06/30/2013 12:00:00 AM,46000,1966,74185.5,0,2881992.2,79,68.2,3135113.3,213.9
West Broadway,"29 Brainbridge Avenue Providence, Rhode Island 02909",06/30/2012 12:00:00 AM,46000,1966,58476.9,0,2696658,85,63,2896181.1,200.1
Dr. Jorge Alvarez High School,"375 Adelaide Ave, Providence, RI 02907",06/30/2012 12:00:00 AM,88000,2007,752769.6,31103.74,0,54,64.5,5678823.8,165.2
Lillian Feinstein Elementary School @ Sackett Street,"159 Sackett St, Providence, RI 02907",06/30/2015 12:00:00 AM,68400,1921,264560.4,14723.81,1653378,81,58.9,4028438.9,200.9
Dr. Martin Luther King Elementary School,"35 Camp St, Providence, RI 02906",06/30/2014 12:00:00 AM,71724,1959,263600,36043.55,0,78,62.8,4503758.1,191.4
B. Jae Clanton Complex,"674 Prairie Avenue
Providence, RI, 02905",06/30/2010 12:00:00 AM,103000,2004,619678.1,66489.67,0,56,85.1,8763309.3,353.2
The Family and Community Engagement Center,"379 Washington Street, Providence, RI 02903",06/30/2012 12:00:00 AM,8700,1960,93341.8,128.03,372883.4,31,80.9,704169.2,28.4
