facility,month,total_energy_use_kbtu,electricity_use_kwh,natural_gas_use_mcf,steam_use_k_lbs,water_use_k_gals,wastewater_use_k_gals,total_energy_cost,electricity_cost,natural_gas_cost,steam_cost,water_cost,wastewater_cost,total_utility_cost,total_emissions_tons_co_2,electricity_tons_co_2,natural_gas_tons_co_2,steam_tons_co_2,heating_degree_days,cooling_degree_days,uses_electricity_for_summer_cooling,uses_natural_gas_for_winter_heating,uses_steam_for_winter_heating,wnu_all_energy,wnu_gas,wnu_electricity,wnu_steam
Boyce Park Admin. Bldg.,2022-08-01,5926.9517241,0,5.76551724134241,0,0,2.044,59.66,0,59.66,0,0,418.86,478.52,0.34672667585985,0,0.34672667585985,0,0,217,,Yes,,13264.6673979426,12.9033729551971,0,0
Boyce Park Admin. Bldg.,2022-10-01,81652.3340517,0,79.4283405172179,0,0,0,315.03,0,315.03,0,0,0,315.03,4.77666154202445,0,4.77666154202445,0,421,0,,Yes,,98415.8287166341,95.7352419422511,0,0
Light: Boyce Park Ent. Sign,2022-02-01,664.2799269,194.689310345838,0,0,0,0,40.69,40.69,0,0,0,0,40.69,0.0832729011997426,0.0832729011997426,0,0,895,0,,,,,,,
Allegheny County Medical Examiner,2022-06-01,2030654.26496,407741.08,622.025,0,453.2968,453.2968,38961.44,35202.87,3758.57,0,10046.95,4416.97,53425.36,211.80716966976,174.39983021976,37.40733945,0,15,156,Yes,Yes,,3258476.24580151,910.45056179782,1181669.81856279,0
White Oak Muse Lane,2021-09-01,66.8774453,19.600658059789,0,0,1.5306,0,15.86,15.86,0,0,24.47,0,40.33,0.00838363266664906,0.00838363266664906,0,0,47,95,,,,242.083400368072,0,70.9505862743471,0
N Park Hse 11 Walter Rd,2021-07-01,0,0,0,0,0,0,0,0,0,0,0,28.61,28.61,0,0,0,0,0,236,,,,0,0,0,0
Boyce Park Admin. Bldg.,2022-02-01,253994.3711828,0,247.076236559144,0,0,20.764,811.28,0,811.28,0,0,386.83,1198.11,14.8586707141938,0,14.8586707141938,0,895,0,,Yes,,147726.287698413,143.70261449262,0,0
Poll Moni: Sylvan,2021-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,212,,,,0,0,0,0
Pump: N Park Filtration Plant,2021-09-01,10.917161,3.19963686987104,0,0,0,0,26.98,26.98,0,0,0,0,26.98,0.00136855508125498,0.00136855508125498,0,0,47,95,,,,39.5180085810739,0,11.5820658209478,0
Boyce Park Admin. Bldg.,2022-09-01,35823.2521552,0,34.847521551751,0,0,1.978,156.77,0,156.77,0,0,405.35,562.12,2.0956602510792,0,2.0956602510792,0,95,78,,Yes,,104816.768019136,101.96183659449,0,0
Boyce Park Admin. Bldg.,2022-11-01,95439.6489028,0,92.8401253918288,0,0,0,364.41,0,364.41,0,0,0,364.41,5.5832194608138,0,5.5832194608138,0,593,4,,Yes,,81159.8650129405,78.9492850320433,0,0
Light: White Oak Park Office,2022-01-01,5793.1747578,1697.88240263775,0,0,0,0,185.95,185.95,0,0,0,0,185.95,0.726221657021023,0.726221657021023,0,0,1244,0,,,,,,,
Allegheny County Medical Examiner,2021-09-01,1954925.4544196,365147.806034496,689.728735632198,0,102.5673,102.5673,36049.95,31494.07,4555.88,0,2196.78,939.84,39186.57,197.660656596136,156.181749892687,41.4789067034492,0,47,95,Yes,Yes,,3326332.93681898,1235.85898514665,1243049.6751723,0
